age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,4,77516,4,13,0,2,3,1,0,2174,0,40,28,1
50,1,83311,4,13,1,8,1,1,0,0,0,13,28,1
38,5,215646,15,9,5,9,3,1,0,0,0,40,28,1
53,5,234721,12,7,1,9,1,4,0,0,0,40,28,1
28,5,338409,4,13,1,14,2,4,1,0,0,40,1,1
37,5,284582,11,14,1,8,2,1,1,0,0,40,28,1
49,5,160187,5,5,3,5,3,4,1,0,0,16,11,1
52,1,209642,15,9,1,8,1,1,0,0,0,45,28,0
31,5,45781,11,14,0,14,3,1,1,14084,0,50,28,0
42,5,159449,4,13,1,8,1,1,0,5178,0,40,28,0
37,5,280464,1,10,1,8,1,4,0,0,0,80,28,0
30,4,141297,4,13,1,14,1,3,0,0,0,40,26,0
23,5,122272,4,13,0,2,5,1,1,0,0,30,28,1
32,5,205019,2,12,0,0,3,4,0,0,0,50,28,1
40,5,121772,6,11,1,13,1,3,0,0,0,40,36,0
34,5,245487,0,4,1,11,1,0,0,0,0,45,27,1
25,1,176756,15,9,0,12,5,1,0,0,0,35,28,1
32,5,186824,15,9,0,3,0,1,0,0,0,40,28,1
38,5,28887,12,7,1,0,1,1,0,0,0,50,28,1
43,1,292175,11,14,5,8,0,1,1,0,0,45,28,0
40,5,193524,7,16,1,14,1,1,0,0,0,60,28,0
54,5,302146,15,9,2,5,0,4,1,0,0,20,28,1
35,8,76845,5,5,1,12,1,4,0,0,0,40,28,1
43,5,117037,12,7,1,11,1,1,0,0,2042,40,28,1
59,5,109015,15,9,5,7,0,1,1,0,0,40,28,1
56,6,216851,4,13,1,7,1,1,0,0,0,40,28,0
19,5,168294,15,9,0,13,5,1,0,0,0,40,28,1
54,3,180211,1,10,1,10,1,3,0,0,0,60,30,0
39,5,367260,15,9,5,8,3,1,0,0,0,80,28,1
49,5,193366,15,9,1,13,1,1,0,0,0,40,28,1
23,6,190709,2,12,0,1,3,1,0,0,0,52,28,1
20,5,266015,1,10,0,0,5,4,0,0,0,44,28,1
45,5,386940,4,13,5,8,5,1,0,0,1408,40,28,1
30,8,59951,1,10,1,2,5,1,0,0,0,40,28,1
22,4,311512,1,10,1,5,1,4,0,0,0,15,28,1
48,5,242406,12,7,0,3,0,1,0,0,0,40,21,1
21,5,197200,1,10,0,3,5,1,0,0,0,40,28,1
19,5,544091,15,9,6,2,2,1,1,0,0,25,28,1
31,5,84154,1,10,1,0,1,1,0,0,0,38,36,0
48,1,265477,2,12,1,14,1,1,0,0,0,40,28,1
31,5,507875,5,5,1,3,1,1,0,0,0,43,28,1
53,1,88506,4,13,1,14,1,1,0,0,0,40,28,1
24,5,172987,4,13,1,7,1,1,0,0,0,50,28,1
49,5,94638,15,9,2,2,0,1,1,0,0,40,28,1
25,5,289980,15,9,0,9,3,1,0,0,0,35,28,1
57,8,337895,4,13,1,14,1,4,0,0,0,40,28,0
53,5,144361,15,9,1,3,1,1,0,0,0,38,28,1
44,5,128354,11,14,5,8,0,1,1,0,0,40,28,1
41,4,101603,6,11,1,13,1,1,0,0,0,40,28,1
29,5,271466,6,11,0,14,3,1,0,0,0,43,28,1
25,5,32275,1,10,1,8,2,2,1,0,0,40,28,1
18,5,226956,15,9,0,5,5,1,1,0,0,30,36,1
47,5,51835,10,15,1,14,2,1,1,0,1902,60,12,0
50,8,251585,4,13,5,8,3,1,0,0,0,55,28,0
47,0,109832,15,9,5,8,3,1,0,0,0,60,28,1
43,5,237993,1,10,1,7,1,1,0,0,0,40,28,0
46,5,216666,3,3,1,3,1,1,0,0,0,40,27,1
35,5,56352,6,11,1,5,1,1,0,0,0,40,21,1
41,5,147372,15,9,1,2,1,1,0,0,0,48,28,1
30,5,188146,15,9,1,3,1,1,0,5013,0,40,28,1
